point,pond,polygon
"16°36'55.9""N 81°08'09.6""E",NSR1,9
"16°37'00.4""N 81°08'02.0""E",JAG1,6
"16°37'08.7""N 81°08'06.3""E",VPS3,7
"16°37'43.6""N 81°08'34.8""E",NRO1,14
"16°37'56.6""N 81°08'54.8""E",VMS1,17
"16°38'09.6""N 81°08'24.8""E",GRA1,8
"16°38'16.6""N 81°08'25.8""E",PKR1,13
"16°38'37.6""N 81°06'58.4""E",GIL2,1
"16°38'43.7""N 81°07'08.4""E",SRI1,3
"16°38'46.6""N 81°07'08.9""E",SRI2,2
"16°38'55.7""N 81°08'22.4""E",PNR1,12
"16°38'59.7""N 81°09'00.9""E",GOW2,19
"16°39'07.0""N 81°08'47.3""E",SRV1,18
"16°39'22.1""N 81°09'02.0""E",PRA1,20
"16°39'30.6""N 81°07'37.9""E",JKS1,5
"16°39'36.5""N 81°07'28.5""E",SNR2,4
"16°39'39.3""N 81°08'23.5""E",SRK1,11
"16°39'44.5""N 81°08'46.7""E",KIS1,16
"16°39'54.5""N 81°08'11.5""E",VVR1,10
"16°40'06.4""N 81°08'38.5""E",SBR1,15
