pond,day1,day2,day3,day4,day5
NSR1,0.23,0.12,0.14,0.17,0.3
JAG1,0.25,0.03,0.25,0.21,0.41
VPS3,0.18,0.17,0.28,0.16,0.18
NRO1,0.26,0.2,0.21,0.18,0.43
VMS1,0.28,0.31,0.24,0.21,0.24
GRA1,0.12,0.12,0.17,0.15,0.18
PKR1,0.21,0.17,0.25,1.08,ND
SRI2,0.08,0.08,0.15,0.13,0.24
SRI1,0.44,0.66,0.54,0.14,0.15
GIL2,0.06,0.06,0.13,0.09,0.11
SNR2,0.01,0.05,0.07,0.07,0.15
JKS1,0.16,0.03,0.11,0.1,0.1
PNR1,0.14,0.14,0.16,0.2,0.15
GOW2,0.33,0.17,0.11,0.14,0.13
SRV1,0.06,0.08,0.11,0.13,0.13
SRK1,0.07,0.07,0.08,0.09,0.3
VVR1,0.06,0.04,0.12,0.05,0.05
KIS1,0.03,0.04,0.08,0.1,0.17
PRA1,0.19,0.08,0.17,0.23,0.29
SBR1,0.14,0.1,0.15,0.11,0.2
